テストID,テスト内容,入力データ,テスト対象業務ID,期待結果,判定基準
2xx_2025_01_02_C,年始休業日の業務ID203テスト,2025-01-02,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の1/6に振替
2xx_2025_01_03_A,年始休業日の業務ID201テスト,2025-01-03,201,対象,毎日業務（振替しない）は非営業日も実行される
2xx_2025_01_03_B,年始休業日の業務ID202テスト,2025-01-03,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の12/30に振替
2xx_2025_01_03_C,年始休業日の業務ID203テスト,2025-01-03,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の1/6に振替
2xx_2025_01_04_A,年始休業日（土曜）の業務ID201テスト,2025-01-04,201,対象,毎日業務（振替しない）は土曜日も実行される
2xx_2025_01_04_B,年始休業日（土曜）の業務ID202テスト,2025-01-04,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の12/30に振替
2xx_2025_01_04_C,年始休業日（土曜）の業務ID203テスト,2025-01-04,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の1/6に振替
2xx_2025_01_05_A,年始休業日（日曜）の業務ID201テスト,2025-01-05,201,対象,毎日業務（振替しない）は日曜日も実行される
2xx_2025_01_05_B,年始休業日（日曜）の業務ID202テスト,2025-01-05,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の12/30に振替
2xx_2025_01_05_C,年始休業日（日曜）の業務ID203テスト,2025-01-05,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の1/6に振替
2xx_2025_01_06_A,年始最初の営業日の業務ID201テスト,2025-01-06,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_01_06_B,年始最初の営業日の業務ID202テスト,2025-01-06,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_01_06_C,年始最初の営業日の業務ID203テスト,2025-01-06,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_04_30_A,月末営業日の業務ID201テスト,2025-04-30,201,対象,毎日業務（振替しない）は月末営業日に実行される
2xx_2025_04_30_B,月末営業日の業務ID202テスト,2025-04-30,202,対象,毎日業務（直前営業日）は月末営業日に実行される
2xx_2025_04_30_C,月末営業日の業務ID203テスト,2025-04-30,203,対象,毎日業務（直後営業日）は月末営業日に実行される
2xx_2025_05_01_A,月初営業日の業務ID201テスト,2025-05-01,201,対象,毎日業務（振替しない）は月初営業日に実行される
2xx_2025_05_01_B,月初営業日の業務ID202テスト,2025-05-01,202,対象,毎日業務（直前営業日）は月初営業日に実行される
2xx_2025_05_01_C,月初営業日の業務ID203テスト,2025-05-01,203,対象,毎日業務（直後営業日）は月初営業日に実行される
2xx_2025_05_02_A,GW前最後の営業日の業務ID201テスト,2025-05-02,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_05_02_B,GW前最後の営業日の業務ID202テスト,2025-05-02,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_05_02_C,GW前最後の営業日の業務ID203テスト,2025-05-02,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_02_28_A,月末営業日の業務ID201テスト,2025-02-28,201,対象,毎日業務（振替しない）は月末営業日に実行される
2xx_2025_02_28_B,月末営業日の業務ID202テスト,2025-02-28,202,対象,毎日業務（直前営業日）は月末営業日に実行される
2xx_2025_02_28_C,月末営業日の業務ID203テスト,2025-02-28,203,対象,毎日業務（直後営業日）は月末営業日に実行される
2xx_2025_03_01_A,月初非営業日（土曜）の業務ID201テスト,2025-03-01,201,対象,毎日業務（振替しない）は土曜日も実行される
2xx_2025_03_01_B,月初非営業日（土曜）の業務ID202テスト,2025-03-01,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の2/28に振替
2xx_2025_03_01_C,月初非営業日（土曜）の業務ID203テスト,2025-03-01,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の3/3に振替
2xx_2025_03_02_A,月初非営業日（日曜）の業務ID201テスト,2025-03-02,201,対象,毎日業務（振替しない）は日曜日も実行される
2xx_2025_03_02_B,月初非営業日（日曜）の業務ID202テスト,2025-03-02,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の2/28に振替
2xx_2025_03_02_C,月初非営業日（日曜）の業務ID203テスト,2025-03-02,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の3/3に振替
2xx_2025_03_03_A,月初最初の営業日の業務ID201テスト,2025-03-03,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_03_03_B,月初最初の営業日の業務ID202テスト,2025-03-03,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_03_03_C,月初最初の営業日の業務ID203テスト,2025-03-03,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_07_21_A,海の日の業務ID201テスト,2025-07-21,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_07_21_B,海の日の業務ID202テスト,2025-07-21,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の7/18に振替
2xx_2025_07_21_C,海の日の業務ID203テスト,2025-07-21,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の7/22に振替
2xx_2025_08_11_A,山の日の業務ID201テスト,2025-08-11,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_08_11_B,山の日の業務ID202テスト,2025-08-11,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の8/8に振替
2xx_2025_08_11_C,山の日の業務ID203テスト,2025-08-11,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の8/12に振替
2xx_2025_09_15_A,敬老の日の業務ID201テスト,2025-09-15,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_09_15_B,敬老の日の業務ID202テスト,2025-09-15,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の9/12に振替
2xx_2025_09_15_C,敬老の日の業務ID203テスト,2025-09-15,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の9/16に振替
2xx_2025_09_23_A,秋分の日の業務ID201テスト,2025-09-23,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_09_23_B,秋分の日の業務ID202テスト,2025-09-23,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の9/22に振替
2xx_2025_09_23_C,秋分の日の業務ID203テスト,2025-09-23,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の9/24に振替
2xx_2025_10_13_A,スポーツの日の業務ID201テスト,2025-10-13,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_10_13_B,スポーツの日の業務ID202テスト,2025-10-13,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の10/10に振替
2xx_2025_10_13_C,スポーツの日の業務ID203テスト,2025-10-13,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の10/14に振替
2xx_2025_08_09_A,連休初日（土曜）の業務ID201テスト,2025-08-09,201,対象,毎日業務（振替しない）は土曜日も実行される
2xx_2025_08_09_B,連休初日（土曜）の業務ID202テスト,2025-08-09,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の8/8に振替
2xx_2025_08_09_C,連休初日（土曜）の業務ID203テスト,2025-08-09,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の8/12に振替
2xx_2025_08_10_A,連休2日目（日曜）の業務ID201テスト,2025-08-10,201,対象,毎日業務（振替しない）は日曜日も実行される
2xx_2025_08_10_B,連休2日目（日曜）の業務ID202テスト,2025-08-10,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の8/8に振替
2xx_2025_08_10_C,連休2日目（日曜）の業務ID203テスト,2025-08-10,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の8/12に振替
2xx_2025_08_11_D,連休3日目（祝日）の業務ID201テスト,2025-08-11,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_08_11_E,連休3日目（祝日）の業務ID202テスト,2025-08-11,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の8/8に振替
2xx_2025_08_11_F,連休3日目（祝日）の業務ID203テスト,2025-08-11,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の8/12に振替
2xx_2025_08_12_A,連休後営業日の業務ID201テスト,2025-08-12,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_08_12_B,連休後営業日の業務ID202テスト,2025-08-12,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_08_12_C,連休後営業日の業務ID203テスト,2025-08-12,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_08_08_A,連休前営業日の業務ID201テスト,2025-08-08,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_08_08_B,連休前営業日の業務ID202テスト,2025-08-08,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_08_08_C,連休前営業日の業務ID203テスト,2025-08-08,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_05_08_A,GW後営業日の業務ID201テスト,2025-05-08,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_05_08_B,GW後営業日の業務ID202テスト,2025-05-08,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_05_08_C,GW後営業日の業務ID203テスト,2025-05-08,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_05_09_A,GW後2日目営業日の業務ID201テスト,2025-05-09,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_05_09_B,GW後2日目営業日の業務ID202テスト,2025-05-09,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_05_09_C,GW後2日目営業日の業務ID203テスト,2025-05-09,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_05_10_A,GW後の土曜日の業務ID201テスト,2025-05-10,201,対象,毎日業務（振替しない）は土曜日も実行される
2xx_2025_05_10_B,GW後の土曜日の業務ID202テスト,2025-05-10,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の5/9に振替
2xx_2025_05_10_C,GW後の土曜日の業務ID203テスト,2025-05-10,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の5/13に振替
2xx_2025_05_16_A,通常営業日（金曜）の業務ID201テスト,2025-05-16,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_05_16_B,通常営業日（金曜）の業務ID202テスト,2025-05-16,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_05_16_C,通常営業日（金曜）の業務ID203テスト,2025-05-16,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_05_23_A,月末前最終週の営業日テスト,2025-05-23,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_05_23_B,月末前最終週の営業日テスト,2025-05-23,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_05_23_C,月末前最終週の営業日テスト,2025-05-23,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_06_30_A,月末営業日の業務ID201テスト,2025-06-30,201,対象,毎日業務（振替しない）は月末営業日に実行される
2xx_2025_06_30_B,月末営業日の業務ID202テスト,2025-06-30,202,対象,毎日業務（直前営業日）は月末営業日に実行される
2xx_2025_06_30_C,月末営業日の業務ID203テスト,2025-06-30,203,対象,毎日業務（直後営業日）は月末営業日に実行される
2xx_2025_07_01_A,月初営業日の業務ID201テスト,2025-07-01,201,対象,毎日業務（振替しない）は月初営業日に実行される
2xx_2025_07_01_B,月初営業日の業務ID202テスト,2025-07-01,202,対象,毎日業務（直前営業日）は月初営業日に実行される
2xx_2025_07_01_C,月初営業日の業務ID203テスト,2025-07-01,203,対象,毎日業務（直後営業日）は月初営業日に実行される
2xx_2025_12_05_A,12月第1金曜日の業務ID201テスト,2025-12-05,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_12_05_B,12月第1金曜日の業務ID202テスト,2025-12-05,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_12_05_C,12月第1金曜日の業務ID203テスト,2025-12-05,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_12_12_A,12月第2金曜日の業務ID201テスト,2025-12-12,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_12_12_B,12月第2金曜日の業務ID202テスト,2025-12-12,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_12_12_C,12月第2金曜日の業務ID203テスト,2025-12-12,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_12_19_A,12月第3金曜日の業務ID201テスト,2025-12-19,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_12_19_B,12月第3金曜日の業務ID202テスト,2025-12-19,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_12_19_C,12月第3金曜日の業務ID203テスト,2025-12-19,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_12_26_A,12月第4金曜日の業務ID201テスト,2025-12-26,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_12_26_B,12月第4金曜日の業務ID202テスト,2025-12-26,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_12_26_C,12月第4金曜日の業務ID203テスト,2025-12-26,203,対象,毎日業務（直後営業日）は平日に実行される
