年月日,営業日フラグ,備考
2025-11-20,TRUE,
2025-11-21,TRUE,
2025-11-22,FALSE,
2025-11-23,FALSE,勤労感謝の日
2025-11-24,FALSE,振替休日
2025-11-25,TRUE,
2025-11-26,TRUE,
2025-11-27,TRUE,
2025-11-28,TRUE,
2025-11-29,FALSE,
2025-11-30,FALSE,
2025-12-01,TRUE,
2025-12-02,TRUE,
2025-12-03,TRUE,
2025-12-04,TRUE,
2025-12-05,TRUE,
2025-12-06,FALSE,
2025-12-07,FALSE,
2025-12-08,TRUE,
2025-12-09,TRUE,
2025-12-10,TRUE,
2025-12-11,TRUE,
2025-12-12,TRUE,
2025-12-13,FALSE,
2025-12-14,FALSE,
2025-12-15,TRUE,
2025-12-16,TRUE,
2025-12-17,TRUE,
2025-12-18,TRUE,
2025-12-19,TRUE,
2025-12-20,FALSE,
2025-12-21,FALSE,
2025-12-22,TRUE,
2025-12-23,TRUE,
2025-12-24,TRUE,
2025-12-25,TRUE,
2025-12-26,TRUE,
2025-12-27,FALSE,
2025-12-28,FALSE,
2025-12-29,TRUE,
2025-12-30,TRUE,
2025-12-31,FALSE,
